a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	11	1374642	0.848283	0.018577	0.133121	0.000000	0.000000	0.000002	0.000016	0.000001	0.000000	0.142422	0.000018	0.000001	0.071213	0.000008	0.000000	0.133122	0.000000	0.133122	0.142427	0.000001	-2054301.030392	243	-1	0.995403	2.869856e-01,3.577381e-01,6.464273e-10,2.755926e-02,2.836598e-01,1.920337e-05,4.171373e-05,4.349146e-02,5.048392e-04	0.000147	0.661443	0.284679	-1816973.955341	9
0	12	1372321	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000003	0.000008	0.000003	0.000003	0.000003	0.000000	0.000003	0.000003	0.000006	-0.000002	-1812389.048162	58	-1812389.960852	0.993723	4.669270e-01,1.557094e-01,2.159214e-02,1.883064e-01,1.040431e-01,1.938104e-02,2.025377e-02,1.787003e-02,5.917081e-03	0.402198	0.245899	0.034532	-2109725.898329	6
0	13	1372382	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000002	0.000007	0.000003	0.000002	0.000002	0.000000	0.000002	0.000002	0.000006	-0.000003	-1807613.194515	42	-1807614.246697	0.993767	4.618866e-01,1.604464e-01,2.189725e-02,1.902652e-01,1.026488e-01,1.877087e-02,2.133593e-02,1.779570e-02,4.953224e-03	0.421176	0.238435	0.027309	-2113692.774786	6
0	14	1372322	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000000	0.000000	0.000002	0.000000	0.000000	0.000001	0.000000	0.000002	0.000005	-0.000000	-1831477.620693	74	-1831477.947836	0.993723	4.640075e-01,1.581861e-01,2.201187e-02,1.740001e-01,1.178027e-01,1.997385e-02,2.004964e-02,1.791874e-02,6.049554e-03	0.357051	0.285832	0.055606	-2126491.587270	6
0	15	1372239	0.989969	0.000000	0.000000	0.010031	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010031	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005016	-0.005016	-1850656.403218	98	-1	0.993663	4.621810e-01,1.510439e-01,3.082124e-02,1.804257e-01,1.098642e-01,2.156189e-02,2.250184e-02,1.606314e-02,5.537075e-03	0.485354	0.260084	0.005465	-2149504.812942	6
0	16	1372279	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	0.000000	0.000000	0.000004	0.000000	0.000000	0.000003	0.000000	0.000003	0.000008	-0.000000	-1834870.689789	58	-1834871.241559	0.993692	4.618295e-01,1.600653e-01,2.227639e-02,1.731593e-01,1.192425e-01,1.939159e-02,2.050778e-02,1.773139e-02,5.796256e-03	0.358800	0.288631	0.055309	-2129047.689119	6
0	17	1372744	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000001	0.000001	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000006	-0.000000	-1809847.617550	62	-1809848.526584	0.994029	4.568688e-01,1.661386e-01,2.118037e-02,1.886016e-01,1.051688e-01,1.796396e-02,2.105887e-02,1.794135e-02,5.077626e-03	0.401633	0.242949	0.034428	-2119254.846927	6
0	18	1372264	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000014	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	-0.000007	-1814492.510944	58	-1814493.116751	0.993681	4.655169e-01,1.566974e-01,2.204750e-02,1.894228e-01,1.027765e-01,1.949980e-02,2.044123e-02,1.773797e-02,5.859910e-03	0.413409	0.241346	0.030224	-2112396.179205	6
0	19	1372442	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	0.000002	0.000002	0.000006	0.000002	0.000002	0.000000	0.000002	0.000002	0.000009	-0.000000	-1813965.106068	51	-1813966.312546	0.993810	4.629976e-01,1.603733e-01,2.085269e-02,1.853553e-01,1.067248e-01,1.963114e-02,2.010303e-02,1.808849e-02,5.873657e-03	0.383751	0.251470	0.041570	-2116766.673961	6
1	2	1372878	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000011	0.000002	0.000002	0.000007	0.000002	0.000002	0.000002	0.000002	0.000004	0.000011	0.000000	-1797460.193018	58	-1797460.972128	0.994126	4.897657e-01,1.646526e-01,2.044935e-02,1.565990e-01,1.043982e-01,1.805149e-02,2.114224e-02,1.922783e-02,5.713555e-03	0.398394	0.260916	0.037395	-2077400.790815	6
